year,region,metric,dim_name,dim_value,value
2013,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y FUGA,69
2013,AMAZONAS,siniestros_por_tipo,tipo_accidente,VOLCADURA,30
2013,AMAZONAS,siniestros_por_tipo,tipo_accidente,CAIDA DE PASAJERO,17
2013,AMAZONAS,siniestros_por_tipo,tipo_accidente,INCENDIO,1
2013,AMAZONAS,siniestros_por_tipo,tipo_accidente,OTRO,19
2013,AMAZONAS,siniestros_por_tipo,tipo_accidente,DESPISTE,68
2014,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO,73
2014,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO Y FUGA,17
2014,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE,172
2014,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y FUGA,42
2014,AMAZONAS,siniestros_por_tipo,tipo_accidente,VOLCADURA,19
2014,AMAZONAS,siniestros_por_tipo,tipo_accidente,CAIDA DE PASAJERO,10
2014,AMAZONAS,siniestros_por_tipo,tipo_accidente,INCENDIO,2
2014,AMAZONAS,siniestros_por_tipo,tipo_accidente,OTRO,16
2014,AMAZONAS,siniestros_por_tipo,tipo_accidente,DESPISTE,112
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO,49
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO Y FUGA,15
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE,166
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y FUGA,24
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,VOLCADURA,11
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,CAIDA DE PASAJERO,5
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,INCENDIO,0
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,OTRO,10
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,DESPISTE,84
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,DESPISTE Y VOLCADURA,9
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,COLISION,1
2015,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y ATROPELLO,7
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO,88
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO Y FUGA,7
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE,261
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y FUGA,57
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,VOLCADURA,43
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,CAIDA DE PASAJERO,6
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,INCENDIO,1
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,OTRO,19
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,DESPISTE,114
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,DESPISTE Y VOLCADURA,18
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,COLISION,9
2016,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y ATROPELLO,5
2017,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO,53
2017,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO Y FUGA,12
2017,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE,180
2017,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y FUGA,27
